taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_wm_count,sd_wm_count,lower_ci_mean_wm_count,upper_ci_mean_wm_count,geom_mean,min_wm_count,median_wm_count,max_wm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,54,0.7737631840621769,1.25211824498922e-18,0.8163130206558379,0.060464679340737626,0.6949817650376673,0.9376442762740085,-6.901648712740722,0.19436057001368487,-7.291661729588651,-6.511635695892793,0.001006125249327519,6.81195149591994e-4,0.0014860470130192184,1.2676102715244004,8.36914326010455e-4,6.82383810813209e-4,7.486966850122972e-4,9.251319670086128e-4,6.139190599141112e-4,6.451612903225807e-5,5.650406504065041e-4,0.003,1,563,-3.3017935968498344,85.20139342849842,111.16264054887549,57.57040815395352,104.86713729551475,131.51698498967656
Amphipoda_outliers_removed,48,0.7135491250805973,2.7134139528437224e-14,0.7490411362877661,0.06893233902271236,0.6102875344457265,0.8877947381298058,-6.830513024233685,0.19841055448901243,-7.229892756143782,-6.431133292323588,0.0010803037534091045,7.245985677277204e-4,0.001610624491419557,1.2399658639697118,8.151678920588741e-4,6.902521641885714e-4,7.205200397681631e-4,9.098157443495851e-4,5.917865460585539e-4,6.451612903225807e-5,5.650406504065041e-4,0.003,1,123,-5.3441488446389664,77.55752918314103,105.07335441763554,50.13890061441988,109.21224020721432,134.16796263838833
Arthritica,51,0.9212678864223101,6.488047706609818e-29,0.9348647087362735,0.03861676756505442,0.8572614088995645,1.0124680085729825,-6.132098530670495,0.16153346785747177,-6.456712187644483,-5.807484873696508,0.002172018128108828,0.0015699489318351549,0.0030049784761589523,1.097698265646129,0.0018928268172359569,9.74788143655277e-4,0.0017631540569837806,0.0020224995774881334,0.0016941607630045791,3.333333333333333e-4,0.0015967741935483872,0.006333333333333333,2,535,2.4076487291884474,25.74386179412872,43.919420428114435,15.534531432938287,26.665331446455284,46.281981478020704
Arthritica_outliers_removed,41,0.9250054735442326,9.288530130134786e-24,0.8545360961176239,0.038432918571409895,0.776798180692721,0.9322740115425269,-5.785508503237519,0.1521700334363837,-6.093301448170983,-5.477715558304055,0.003071747984868382,0.002257942117100872,0.004178865175985127,1.0623898733981192,0.0019856482391477875,0.001007867387967616,0.001836115919757229,0.002135180558538346,0.0018033516428723625,7.058823529411765e-4,0.0016037037037037038,0.006333333333333333,3,304,-3.210372561301704,14.152992631300751,31.069131860550186,21.437159655686074,19.813045571311072,39.05225252511008
Capitella,79,0.8819098153980922,1.1167596193421027e-37,0.9448361324614343,0.03911393835393261,0.8669503307932156,1.022721934129653,-7.649911127861754,0.18294444133130966,-8.014200050774598,-7.285622204948911,4.760864379619301e-4,3.307327036146359e-4,6.853216931198225e-4,1.0766726682305394,4.0031084501137735e-4,1.6422215170782046e-4,3.8275823119607923e-4,4.1786345882667547e-4,3.7066707340275315e-4,1.3095238095238096e-4,3.828125e-4,0.00108,4,837,0.12303744512710114,16.493702597262327,35.09789477332014,7.026796601197181,16.928384488782672,36.38470569504166
Capitella_outliers_removed,63,0.7621408027629408,6.693868822130459e-21,0.9215608198389393,0.06521991058024669,0.7911455484314172,1.0519760912464615,-7.581175657664024,0.28269525956706515,-8.146459766060593,-7.0158915492674545,5.099613305028422e-4,2.897593618821258e-4,8.975052847956704e-4,1.0764455331465406,3.9412843969640216e-4,1.583969496826479e-4,3.7517010681892965e-4,4.130867725738747e-4,3.6496240780627647e-4,1.3095238095238096e-4,3.828125e-4,0.00108,18,459,0.26358646248055034,16.816542920257408,36.39436330465085,5.8040092754260435,17.253100829239262,37.310217849844605
Ceratopogonidae,10,0.10545318606438425,0.1890366215914765,0.40553399925029543,0.28248309007739575,-0.24587317459343017,1.056941173094021,-6.143480490849836,0.2632259346498228,-6.750480584645309,-5.536480397054363,0.0021474364634072453,0.0011703170492163755,0.003940371002420915,1.1450578284396995,0.0018277777777777778,0.0013548799166263282,0.0014207496609847455,0.00223480589457081,0.0014614425516219249,5e-4,0.0015555555555555557,0.005,1,9,-2.1194652678014485,32.68941722263888,58.18719715151299,34.3954248366013,54.142592592592585,79.81296296296296
Ceratopogonidae_outliers_removed,7,-0.16103599524837198,0.6990346940194603,0.10122629599542918,0.2471151614709617,-0.5340034493921596,0.736456041383018,-6.051560805849778,0.1715831538180736,-6.49262934435571,-5.610492267343846,0.002354184712195282,0.0015145614644146575,0.0036592675763580888,1.0356756553500992,0.0016666666666666668,8.164965809277261e-4,0.0013734903017386922,0.0019598430315946416,0.001485994289136949,6.666666666666666e-4,0.002,0.003,1,3,-0.026484687208315462,6.903506670453916,24.763668693264204,20.37037037037037,26.984126984126984,53.96825396825397
Chironomidae,93,0.7308804007177956,6.812510025433426e-28,0.6807626448843141,0.04298173597137417,0.5953847064935236,0.7661405832751047,-6.695169287459882,0.1145398578258953,-6.922688644315596,-6.467649930604167,0.0012368724695388546,9.851775843957484e-4,0.0015528708023147618,1.1823169440242889,8.195975725390956e-4,7.799457369091924e-4,7.427647974389487e-4,8.964303476392425e-4,6.059416418791618e-4,1.25e-4,6.315789473684211e-4,0.005,1,183,-7.8469150723289305,42.273114191198545,67.12179884085928,65.78400187662844,76.61083296302813,99.77376896550923
Chironomidae_outliers_removed,84,0.6474779120514114,1.78962198791297e-20,0.6078207718881006,0.04906789335450055,0.5102091010783943,0.7054324426978068,-6.599575477694809,0.11686490189379395,-6.832056995710078,-6.36709395967954,0.0013609456667226611,0.0010786370822054915,0.0017171420659709256,1.1705137760162883,8.506888108098781e-4,8.097977659274211e-4,7.667504398105897e-4,9.346271818091664e-4,6.228395015519378e-4,1.25e-4,6.491228070175439e-4,0.005,1,56,-2.7235003406051237,39.49135385543037,65.92089279234446,70.6928608965987,81.42185009793755,104.560763201641
Hydrobiidae,35,0.6424220899493183,4.3880912145870955e-9,0.7760366585157356,0.09848992016671478,0.5756574092919903,0.9764159077394808,-5.627421416238332,0.20366698474696296,-6.041785012291409,-5.213057820185255,0.00359784071004737,0.0023773115935703535,0.005444998379633355,1.278099049737546,0.00341893085537396,0.003397900244898042,0.002873298384041417,0.003964563326706503,0.002475709204137815,8.333333333333333e-4,0.002111111111111111,0.014,1,49,-0.9651774201436524,59.46519777354457,85.0594594140833,38.63576765197706,72.92166633384258,95.67000726570753
Hydrobiidae_outliers_removed,29,0.50789109475131,8.687736595844109e-6,0.6754674066099904,0.12353314933157526,0.42199832101454815,0.9289364922054326,-5.569817928105206,0.21083359162893964,-6.002412725308607,-5.137223130901805,0.003811174277147357,0.0024727788374669718,0.005873978356135008,1.245452913951362,0.0033964263705643016,0.0034749652009245665,0.002783405774332086,0.004009446966796518,0.0024486252790468753,8.571428571428572e-4,0.002,0.014,1,21,5.5388022592088015,53.986815821809486,77.04120004185253,48.64555509315648,72.27901232908802,95.45295390394205
Salinator,20,0.09104343755194344,0.1056118243848208,0.7640474113060887,0.4484253203777248,-0.17805922767762217,1.7061540502897996,-4.624451148375053,0.5510256018498988,-5.782112980038589,-3.466789316711518,0.00980903726470608,0.0030821959044505924,0.031217098147933414,3.173074737748899,0.025794911297852476,0.041894217199574486,0.01689547113322548,0.03469435146247947,0.00796899379958559,5.714285714285715e-4,0.010333333333333333,0.1455,1,17,14.721894714808153,774.7002294456178,801.5813443470847,39.48359442542449,834.3682674674759,860.4498215481544
Salinator (shell removed),15,0.7470233992005926,1.981815128181985e-5,0.9025987352789144,0.1387119000091028,0.6029298942208479,1.202267576336981,-2.570783530676599,0.2153326158237982,-3.0359813646164766,-2.1055856967367217,0.07647560096345021,0.048027507244718375,0.12177433055020845,1.0680304761348542,0.07162537878787878,0.02653741254187597,0.06511604485555775,0.07813471272019981,0.06693455905327098,0.0365,0.07033333333333333,0.1095,2,16,-3.6386547076777096,14.19197331325864,35.98275864053065,1.9716151422314592,14.752381089305105,37.08959497305417
Salinator (shell removed)_outliers_removed,12,0.5477045995678875,0.003577065616877651,0.6820411032687094,0.18023251513555416,0.280458033903977,1.0836241726334417,-2.315920146654093,0.24295466259274417,-2.857256869648203,-1.7745834236599836,0.09867534642673909,0.05742607160407094,0.16955406700232517,1.058842958902811,0.0719084595959596,0.026843828777616575,0.06454677100481195,0.07927014818710724,0.06707091677097851,0.0365,0.07041666666666666,0.1095,2,11,-3.9610057596196895,11.708825573011934,30.321487836551558,8.050123281264034,15.455451168264384,37.740687486403864
Salinator_outliers_removed,16,0.2102186247401514,0.04227735612335793,1.0016377106525376,0.44827794975743945,0.040177131525695464,1.9630982897793796,-4.926069667454849,0.5161410973308292,-6.033082222097299,-3.819057112812399,0.00725496173136263,0.0023980911264016814,0.021948486087146266,1.9831729221307979,0.014407242063492063,0.0144171326531762,0.010983173058362716,0.01783131106862141,0.007264911615364628,5.714285714285715e-4,0.010333333333333333,0.047,1,9,-4.100927567353032,359.15935919203804,395.6963221204373,-4.202171416154465,358.9734193900768,395.54392118262473
Simplisetia,60,0.8118643989208123,6.389921205978023e-23,0.8899120214150049,0.05566261410657869,0.7784911935446371,1.0013328492853728,-5.473844552114363,0.18965980309562905,-5.8534898960104265,-5.094199208218299,0.004195072938883488,0.0028698661268069213,0.006132215296792671,1.282415675425323,0.004110178504495318,0.0035723913536761043,0.003672044450896092,0.004548312558094543,0.0030518040450760193,2.5e-4,0.0032626666666666668,0.017,1,231,-6.70164956037032,83.94458458201679,110.74827455230638,17.676390324605343,92.80824710444864,114.92848935334843
Simplisetia_outliers_removed,51,0.757023308572519,6.957138276033401e-17,0.7931261106015378,0.0633425372868452,0.6658345162129582,0.9204177049901174,-5.244634323638162,0.2020310142627567,-5.650630847032702,-4.838637800243622,0.005275750559196239,0.0035152984596745567,0.007917832378146415,1.2545731957511015,0.0041563671513666165,0.003776885339671275,0.0036539409058907067,0.004658793396842526,0.0030102066156524753,2.5e-4,0.003192,0.017,1,154,-13.60091482261629,78.51372349844473,107.94255106793506,28.93350748905498,102.72135427312311,125.15293327813102
Spisula,24,0.13804463508099696,0.04157932527384826,0.5368413874051612,0.24806184736585352,0.022392602978598464,1.0512901718317238,-3.1212897411128204,0.36924380411400587,-3.887054521955287,-2.355524960270354,0.044100253814598776,0.020505656133236357,0.09484370428702227,1.5397024577932221,0.05081083514915037,0.04911903679880301,0.04128577281803749,0.06033589748026325,0.027086804492446027,5e-4,0.023996047430830038,0.138,1,23,8.667070939759954,509.4753347546495,544.9185875084609,98.49253564509591,566.1173654522563,604.1939526219145
Spisula_outliers_removed,20,0.08525333574961913,0.11330974424657327,0.3868744772520746,0.23241770300933046,-0.10141699754242367,0.8751659520465729,-2.837160269398296,0.28708504005663676,-3.4403035574767653,-2.2340169813198267,0.05859181491353961,0.03205495333007445,0.10709735682695845,1.3326812781964366,0.05799763986013986,0.05066694284658577,0.047234640660518926,0.06876063905976079,0.035376000629714445,0.006,0.03215909090909091,0.138,1,13,4.858773885616757,130.07054189962395,162.37358992253291,93.14907435174314,174.06278175847768,213.48764454322782
